Tid,Pris
2022-09-03 09:40:00,1.964
2022-09-03 09:45:00,1.857
2022-09-03 09:50:00,1.75
2022-09-03 09:55:00,1.644
2022-09-03 10:00:00,1.537
2022-09-03 10:05:00,1.489
2022-09-03 10:10:00,1.44
2022-09-03 10:15:00,1.392
2022-09-03 10:20:00,1.343
2022-09-03 10:25:00,1.294
2022-09-03 10:30:00,1.246
2022-09-03 10:35:00,1.197
2022-09-03 10:40:00,1.148
2022-09-03 10:45:00,1.1
2022-09-03 10:50:00,1.051
2022-09-03 10:55:00,1.003
2022-09-03 11:00:00,0.954
2022-09-03 11:05:00,0.921
2022-09-03 11:10:00,0.888
2022-09-03 11:15:00,0.855
2022-09-03 11:20:00,0.823
2022-09-03 11:25:00,0.79
2022-09-03 11:30:00,0.757
2022-09-03 11:35:00,0.724
2022-09-03 11:40:00,0.691
2022-09-03 11:45:00,0.658
2022-09-03 11:50:00,0.625
2022-09-03 11:55:00,0.593
2022-09-03 12:00:00,0.56
2022-09-03 12:05:00,0.545
2022-09-03 12:10:00,0.53
2022-09-03 12:15:00,0.515
2022-09-03 12:20:00,0.5
2022-09-03 12:25:00,0.485
2022-09-03 12:30:00,0.47
2022-09-03 12:35:00,0.455
2022-09-03 12:40:00,0.439
2022-09-03 12:45:00,0.424
2022-09-03 12:50:00,0.409
2022-09-03 12:55:00,0.394
2022-09-03 13:00:00,0.379
2022-09-03 13:05:00,0.396
2022-09-03 13:10:00,0.412
2022-09-03 13:15:00,0.429
2022-09-03 13:20:00,0.445
2022-09-03 13:25:00,0.462
2022-09-03 13:30:00,0.478
2022-09-03 13:35:00,0.494
2022-09-03 13:40:00,0.511
2022-09-03 13:45:00,0.527
2022-09-03 13:50:00,0.544
2022-09-03 13:55:00,0.56
2022-09-03 14:00:00,0.577
2022-09-03 14:05:00,0.631
2022-09-03 14:10:00,0.686
2022-09-03 14:15:00,0.741
2022-09-03 14:20:00,0.796
2022-09-03 14:25:00,0.851
2022-09-03 14:30:00,0.905
2022-09-03 14:35:00,0.96
2022-09-03 14:40:00,1.015
2022-09-03 14:45:00,1.07
2022-09-03 14:50:00,1.124
2022-09-03 14:55:00,1.179
2022-09-03 15:00:00,1.234
2022-09-03 15:05:00,1.286
2022-09-03 15:10:00,1.338
2022-09-03 15:15:00,1.39
2022-09-03 15:20:00,1.442
2022-09-03 15:25:00,1.494
2022-09-03 15:30:00,1.546
2022-09-03 15:35:00,1.599
2022-09-03 15:40:00,1.651
2022-09-03 15:45:00,1.703
2022-09-03 15:50:00,1.755
2022-09-03 15:55:00,1.807
2022-09-03 16:00:00,1.859
2022-09-03 16:05:00,1.953
2022-09-03 16:10:00,2.047
2022-09-03 16:15:00,2.141
2022-09-03 16:20:00,2.235
2022-09-03 16:25:00,2.329
2022-09-03 16:30:00,2.423
2022-09-03 16:35:00,2.516
2022-09-03 16:40:00,2.61
2022-09-03 16:45:00,2.704
2022-09-03 16:50:00,2.798
2022-09-03 16:55:00,2.892
2022-09-03 17:00:00,2.986
2022-09-03 17:05:00,3.018
2022-09-03 17:10:00,3.051
2022-09-03 17:15:00,3.083
2022-09-03 17:20:00,3.115
2022-09-03 17:25:00,3.148
2022-09-03 17:30:00,3.18
2022-09-03 17:35:00,3.212
2022-09-03 17:40:00,3.244
2022-09-03 17:45:00,3.277
2022-09-03 17:50:00,3.309
2022-09-03 17:55:00,3.341
2022-09-03 18:00:00,3.373
2022-09-03 18:05:00,3.421
2022-09-03 18:10:00,3.468
2022-09-03 18:15:00,3.515
2022-09-03 18:20:00,3.563
2022-09-03 18:25:00,3.61
2022-09-03 18:30:00,3.657
2022-09-03 18:35:00,3.705
2022-09-03 18:40:00,3.752
2022-09-03 18:45:00,3.799
2022-09-03 18:50:00,3.847
2022-09-03 18:55:00,3.894
2022-09-03 19:00:00,3.941
2022-09-03 19:05:00,3.932
2022-09-03 19:10:00,3.923
2022-09-03 19:15:00,3.913
2022-09-03 19:20:00,3.904
2022-09-03 19:25:00,3.895
2022-09-03 19:30:00,3.885
2022-09-03 19:35:00,3.876
2022-09-03 19:40:00,3.867
2022-09-03 19:45:00,3.857
2022-09-03 19:50:00,3.848
2022-09-03 19:55:00,3.839
2022-09-03 20:00:00,3.829
2022-09-03 20:05:00,3.765
2022-09-03 20:10:00,3.701
2022-09-03 20:15:00,3.636
2022-09-03 20:20:00,3.572
